storage_time,drying_type,insect,sample,treatment,parameter,rep,value,detection_limit
0,oven,mw,control,oven,tvc,1,5.92,1.95
0,oven,mw,control,oven,tvc,2,6.12,1.95
0,oven,mw,control,oven,tvc,3,6,1.95
0,oven,mw,leeb,oven_leeb,tvc,1,1.95,1.95
0,oven,mw,leeb,oven_leeb,tvc,2,2.05,1.95
0,oven,mw,leeb,oven_leeb,tvc,3,1.95,1.95
1,oven,mw,control,oven,tvc,1,5.76,1.95
1,oven,mw,control,oven,tvc,2,5.61,1.95
1,oven,mw,control,oven,tvc,3,5.95,1.95
1,oven,mw,leeb,oven_leeb,tvc,1,1.95,1.95
1,oven,mw,leeb,oven_leeb,tvc,2,1.95,1.95
1,oven,mw,leeb,oven_leeb,tvc,3,1.95,1.95
2,oven,mw,control,oven,tvc,1,5.6,1.95
2,oven,mw,control,oven,tvc,2,6.13,1.95
2,oven,mw,control,oven,tvc,3,6.06,1.95
2,oven,mw,leeb,oven_leeb,tvc,1,2.9,1.95
2,oven,mw,leeb,oven_leeb,tvc,2,2.9,1.95
2,oven,mw,leeb,oven_leeb,tvc,3,3.4,1.95
3,oven,mw,control,oven,tvc,1,5.7,1.95
3,oven,mw,control,oven,tvc,2,5.8,1.95
3,oven,mw,control,oven,tvc,3,5.7,1.95
3,oven,mw,leeb,oven_leeb,tvc,1,2.9,1.95
3,oven,mw,leeb,oven_leeb,tvc,2,2.7,1.95
3,oven,mw,leeb,oven_leeb,tvc,3,2.9,1.95
4,oven,mw,control,oven,tvc,1,5.2,1.95
4,oven,mw,control,oven,tvc,2,5.1,1.95
4,oven,mw,control,oven,tvc,3,5.2,1.95
4,oven,mw,leeb,oven_leeb,tvc,1,2.8,1.95
4,oven,mw,leeb,oven_leeb,tvc,2,2.9,1.95
4,oven,mw,leeb,oven_leeb,tvc,3,3.1,1.95
5,oven,mw,control,oven,tvc,1,5.3,1.95
5,oven,mw,control,oven,tvc,2,5.3,1.95
5,oven,mw,control,oven,tvc,3,5.4,1.95
5,oven,mw,leeb,oven_leeb,tvc,1,2.8,1.95
5,oven,mw,leeb,oven_leeb,tvc,2,2.5,1.95
5,oven,mw,leeb,oven_leeb,tvc,3,2.5,1.95
6,oven,mw,control,oven,tvc,1,4.9,1.95
6,oven,mw,control,oven,tvc,2,5,1.95
6,oven,mw,control,oven,tvc,3,4.8,1.95
6,oven,mw,leeb,oven_leeb,tvc,1,2.9,1.95
6,oven,mw,leeb,oven_leeb,tvc,2,3,1.95
6,oven,mw,leeb,oven_leeb,tvc,3,2.8,1.95
0,oven,mw,control,oven,anaer.tvc,1,5.69,1
0,oven,mw,control,oven,anaer.tvc,2,5.85,1
0,oven,mw,control,oven,anaer.tvc,3,5.47,1
0,oven,mw,leeb,oven_leeb,anaer.tvc,1,1.87,1
0,oven,mw,leeb,oven_leeb,anaer.tvc,2,1.78,1
0,oven,mw,leeb,oven_leeb,anaer.tvc,3,1.95,1
1,oven,mw,control,oven,anaer.tvc,1,4.25,1
1,oven,mw,control,oven,anaer.tvc,2,3.69,1
1,oven,mw,control,oven,anaer.tvc,3,3.62,1
1,oven,mw,leeb,oven_leeb,anaer.tvc,1,1,1
1,oven,mw,leeb,oven_leeb,anaer.tvc,2,1,1
1,oven,mw,leeb,oven_leeb,anaer.tvc,3,1,1
2,oven,mw,control,oven,anaer.tvc,1,4.76,1
2,oven,mw,control,oven,anaer.tvc,2,5.19,1
2,oven,mw,control,oven,anaer.tvc,3,4.89,1
2,oven,mw,leeb,oven_leeb,anaer.tvc,1,1,1
2,oven,mw,leeb,oven_leeb,anaer.tvc,2,1,1
2,oven,mw,leeb,oven_leeb,anaer.tvc,3,1,1
3,oven,mw,control,oven,anaer.tvc,1,5.6,1
3,oven,mw,control,oven,anaer.tvc,2,5.54,1
3,oven,mw,control,oven,anaer.tvc,3,5.16,1
3,oven,mw,leeb,oven_leeb,anaer.tvc,1,1,1
3,oven,mw,leeb,oven_leeb,anaer.tvc,2,1,1
3,oven,mw,leeb,oven_leeb,anaer.tvc,3,1,1
4,oven,mw,control,oven,anaer.tvc,1,4.39,1
4,oven,mw,control,oven,anaer.tvc,2,4.72,1
4,oven,mw,control,oven,anaer.tvc,3,3.27,1
4,oven,mw,leeb,oven_leeb,anaer.tvc,1,2.18,1
4,oven,mw,leeb,oven_leeb,anaer.tvc,2,1.95,1
4,oven,mw,leeb,oven_leeb,anaer.tvc,3,1.93,1
5,oven,mw,control,oven,anaer.tvc,1,3.52,1
5,oven,mw,control,oven,anaer.tvc,2,3.75,1
5,oven,mw,control,oven,anaer.tvc,3,3.14,1
5,oven,mw,leeb,oven_leeb,anaer.tvc,1,1,1
5,oven,mw,leeb,oven_leeb,anaer.tvc,2,1.8,1
5,oven,mw,leeb,oven_leeb,anaer.tvc,3,1,1
6,oven,mw,control,oven,anaer.tvc,1,3.7,1
6,oven,mw,control,oven,anaer.tvc,2,3.68,1
6,oven,mw,control,oven,anaer.tvc,3,3.76,1
6,oven,mw,leeb,oven_leeb,anaer.tvc,1,3.16,1
6,oven,mw,leeb,oven_leeb,anaer.tvc,2,1.64,1
6,oven,mw,leeb,oven_leeb,anaer.tvc,3,2.18,1
0,oven,bsfl,control,oven,tvc,1,4.4,1.95
0,oven,bsfl,control,oven,tvc,2,3.9,1.95
0,oven,bsfl,control,oven,tvc,3,3.8,1.95
0,oven,bsfl,leeb,oven_leeb,tvc,1,3,1.95
0,oven,bsfl,leeb,oven_leeb,tvc,2,3.1,1.95
0,oven,bsfl,leeb,oven_leeb,tvc,3,3.1,1.95
1,oven,bsfl,control,oven,tvc,1,3.9,1.95
1,oven,bsfl,control,oven,tvc,2,3.9,1.95
1,oven,bsfl,control,oven,tvc,3,3.7,1.95
1,oven,bsfl,leeb,oven_leeb,tvc,1,3.4,1.95
1,oven,bsfl,leeb,oven_leeb,tvc,2,3.3,1.95
3,oven,bsfl,control,oven,tvc,1,3.7,1.95
3,oven,bsfl,control,oven,tvc,2,3.8,1.95
3,oven,bsfl,control,oven,tvc,3,3.8,1.95
3,oven,bsfl,leeb,oven_leeb,tvc,1,3.4,1.95
3,oven,bsfl,leeb,oven_leeb,tvc,2,3.2,1.95
3,oven,bsfl,leeb,oven_leeb,tvc,3,3.2,1.95
4,oven,bsfl,control,oven,tvc,1,4,1.95
4,oven,bsfl,control,oven,tvc,2,4.1,1.95
4,oven,bsfl,control,oven,tvc,3,3.8,1.95
4,oven,bsfl,leeb,oven_leeb,tvc,1,3.4,1.95
4,oven,bsfl,leeb,oven_leeb,tvc,2,3.5,1.95
4,oven,bsfl,leeb,oven_leeb,tvc,3,3.4,1.95
5,oven,bsfl,control,oven,tvc,1,4.2,1.95
5,oven,bsfl,control,oven,tvc,2,3.8,1.95
5,oven,bsfl,control,oven,tvc,3,4,1.95
5,oven,bsfl,leeb,oven_leeb,tvc,1,3.7,1.95
5,oven,bsfl,leeb,oven_leeb,tvc,2,3.4,1.95
5,oven,bsfl,leeb,oven_leeb,tvc,3,3.5,1.95
6,oven,bsfl,control,oven,tvc,1,4.2,1.95
6,oven,bsfl,control,oven,tvc,2,4,1.95
6,oven,bsfl,control,oven,tvc,3,3.9,1.95
6,oven,bsfl,leeb,oven_leeb,tvc,1,3.3,1.95
6,oven,bsfl,leeb,oven_leeb,tvc,2,3.4,1.95
6,oven,bsfl,leeb,oven_leeb,tvc,3,3.2,1.95
0,oven,bsfl,control,oven,anaer.tvc,1,2.1,1
0,oven,bsfl,control,oven,anaer.tvc,2,2.4,1
0,oven,bsfl,control,oven,anaer.tvc,3,1.7,1
0,oven,bsfl,leeb,oven_leeb,anaer.tvc,1,1,1
0,oven,bsfl,leeb,oven_leeb,anaer.tvc,2,1,1
0,oven,bsfl,leeb,oven_leeb,anaer.tvc,3,1.2,1
1,oven,bsfl,control,oven,anaer.tvc,1,1.7,1
1,oven,bsfl,control,oven,anaer.tvc,2,1.7,1
1,oven,bsfl,control,oven,anaer.tvc,3,1.8,1
1,oven,bsfl,leeb,oven_leeb,anaer.tvc,1,1,1
1,oven,bsfl,leeb,oven_leeb,anaer.tvc,2,1,1
1,oven,bsfl,leeb,oven_leeb,anaer.tvc,3,1,1
2,oven,bsfl,control,oven,anaer.tvc,1,1.87,1
2,oven,bsfl,control,oven,anaer.tvc,2,1.7,1
2,oven,bsfl,control,oven,anaer.tvc,3,1,1
2,oven,bsfl,leeb,oven_leeb,anaer.tvc,1,1.67,1
2,oven,bsfl,leeb,oven_leeb,anaer.tvc,2,2.42,1
2,oven,bsfl,leeb,oven_leeb,anaer.tvc,3,2.4,1
3,oven,bsfl,control,oven,anaer.tvc,1,1.6,1
3,oven,bsfl,control,oven,anaer.tvc,2,1.7,1
3,oven,bsfl,control,oven,anaer.tvc,3,1.7,1
3,oven,bsfl,leeb,oven_leeb,anaer.tvc,1,1,1
3,oven,bsfl,leeb,oven_leeb,anaer.tvc,2,1,1
3,oven,bsfl,leeb,oven_leeb,anaer.tvc,3,1,1
4,oven,bsfl,control,oven,anaer.tvc,1,3.3,1
4,oven,bsfl,control,oven,anaer.tvc,2,2.8,1
4,oven,bsfl,control,oven,anaer.tvc,3,3.7,1
4,oven,bsfl,leeb,oven_leeb,anaer.tvc,1,1,1
4,oven,bsfl,leeb,oven_leeb,anaer.tvc,2,1,1
4,oven,bsfl,leeb,oven_leeb,anaer.tvc,3,1,1
5,oven,bsfl,control,oven,anaer.tvc,1,1.48,1
5,oven,bsfl,control,oven,anaer.tvc,2,1.78,1
5,oven,bsfl,control,oven,anaer.tvc,3,2.53,1
5,oven,bsfl,leeb,oven_leeb,anaer.tvc,1,1,1
5,oven,bsfl,leeb,oven_leeb,anaer.tvc,2,1,1
5,oven,bsfl,leeb,oven_leeb,anaer.tvc,3,1,1
6,oven,bsfl,control,oven,anaer.tvc,1,3.2,1
6,oven,bsfl,control,oven,anaer.tvc,2,1,1
6,oven,bsfl,control,oven,anaer.tvc,3,1,1
6,oven,bsfl,leeb,oven_leeb,anaer.tvc,1,1,1
6,oven,bsfl,leeb,oven_leeb,anaer.tvc,2,1,1
6,oven,bsfl,leeb,oven_leeb,anaer.tvc,3,1,1
0,oven,mw,control,oven,bsc,1,3.27,1.95
0,oven,mw,control,oven,bsc,2,3.11,1.95
0,oven,mw,control,oven,bsc,3,3.2,1.95
0,oven,mw,leeb,oven_leeb,bsc,1,2.05,1.95
0,oven,mw,leeb,oven_leeb,bsc,2,2.3,1.95
0,oven,mw,leeb,oven_leeb,bsc,3,2.45,1.95
1,oven,mw,control,oven,bsc,1,3.5,1.95
1,oven,mw,control,oven,bsc,2,3.44,1.95
1,oven,mw,control,oven,bsc,3,3.48,1.95
1,oven,mw,leeb,oven_leeb,bsc,1,1.95,1.95
1,oven,mw,leeb,oven_leeb,bsc,2,1.95,1.95
1,oven,mw,leeb,oven_leeb,bsc,3,1.95,1.95
2,oven,mw,control,oven,bsc,1,3.72,1.95
2,oven,mw,control,oven,bsc,2,3.72,1.95
2,oven,mw,control,oven,bsc,3,3.66,1.95
2,oven,mw,leeb,oven_leeb,bsc,1,2.21,1.95
2,oven,mw,leeb,oven_leeb,bsc,2,2.39,1.95
2,oven,mw,leeb,oven_leeb,bsc,3,2.65,1.95
3,oven,mw,control,oven,bsc,1,3.59,1.95
3,oven,mw,control,oven,bsc,2,3.59,1.95
3,oven,mw,control,oven,bsc,3,3.58,1.95
3,oven,mw,leeb,oven_leeb,bsc,1,2.42,1.95
3,oven,mw,leeb,oven_leeb,bsc,2,2.82,1.95
3,oven,mw,leeb,oven_leeb,bsc,3,2.83,1.95
4,oven,mw,control,oven,bsc,1,3.7,1.95
4,oven,mw,control,oven,bsc,2,3.58,1.95
4,oven,mw,control,oven,bsc,3,3.45,1.95
4,oven,mw,leeb,oven_leeb,bsc,1,2.27,1.95
4,oven,mw,leeb,oven_leeb,bsc,2,2.21,1.95
4,oven,mw,leeb,oven_leeb,bsc,3,2.51,1.95
5,oven,mw,control,oven,bsc,1,3.75,1.95
5,oven,mw,control,oven,bsc,2,3.58,1.95
5,oven,mw,control,oven,bsc,3,3.52,1.95
5,oven,mw,leeb,oven_leeb,bsc,1,2.41,1.95
5,oven,mw,leeb,oven_leeb,bsc,2,2.15,1.95
5,oven,mw,leeb,oven_leeb,bsc,3,1.95,1.95
6,oven,mw,control,oven,bsc,1,3.54,1.95
6,oven,mw,control,oven,bsc,2,3.63,1.95
6,oven,mw,control,oven,bsc,3,3.48,1.95
6,oven,mw,leeb,oven_leeb,bsc,1,2.05,1.95
6,oven,mw,leeb,oven_leeb,bsc,2,2.27,1.95
6,oven,mw,leeb,oven_leeb,bsc,3,2.72,1.95
0,oven,bsfl,control,oven,bsc,1,4.14,1.95
0,oven,bsfl,control,oven,bsc,2,3.6,1.95
0,oven,bsfl,control,oven,bsc,3,3.45,1.95
0,oven,bsfl,leeb,oven_leeb,bsc,1,1.95,1.95
0,oven,bsfl,leeb,oven_leeb,bsc,2,2.24,1.95
0,oven,bsfl,leeb,oven_leeb,bsc,3,1.95,1.95
1,oven,bsfl,control,oven,bsc,1,3.88,1.95
1,oven,bsfl,control,oven,bsc,2,3.44,1.95
1,oven,bsfl,control,oven,bsc,3,4.01,1.95
1,oven,bsfl,leeb,oven_leeb,bsc,1,2.31,1.95
1,oven,bsfl,leeb,oven_leeb,bsc,2,2.31,1.95
1,oven,bsfl,leeb,oven_leeb,bsc,3,2.21,1.95
2,oven,bsfl,control,oven,bsc,1,2.28,1.95
2,oven,bsfl,control,oven,bsc,2,4,1.95
2,oven,bsfl,control,oven,bsc,3,2.57,1.95
2,oven,bsfl,leeb,oven_leeb,bsc,1,2.62,1.95
2,oven,bsfl,leeb,oven_leeb,bsc,2,1.95,1.95
2,oven,bsfl,leeb,oven_leeb,bsc,3,1.95,1.95
3,oven,bsfl,control,oven,bsc,1,3.64,1.95
3,oven,bsfl,control,oven,bsc,2,3.77,1.95
3,oven,bsfl,control,oven,bsc,3,3.37,1.95
3,oven,bsfl,leeb,oven_leeb,bsc,1,2.54,1.95
3,oven,bsfl,leeb,oven_leeb,bsc,2,2.25,1.95
3,oven,bsfl,leeb,oven_leeb,bsc,3,2.31,1.95
4,oven,bsfl,control,oven,bsc,1,3.85,1.95
4,oven,bsfl,control,oven,bsc,2,3.74,1.95
4,oven,bsfl,control,oven,bsc,3,4.13,1.95
4,oven,bsfl,leeb,oven_leeb,bsc,1,2.05,1.95
4,oven,bsfl,leeb,oven_leeb,bsc,2,2.25,1.95
4,oven,bsfl,leeb,oven_leeb,bsc,3,2.05,1.95
5,oven,bsfl,control,oven,bsc,1,3.5,1.95
5,oven,bsfl,control,oven,bsc,2,3.35,1.95
5,oven,bsfl,control,oven,bsc,3,3.41,1.95
5,oven,bsfl,leeb,oven_leeb,bsc,1,2.37,1.95
5,oven,bsfl,leeb,oven_leeb,bsc,2,2.71,1.95
5,oven,bsfl,leeb,oven_leeb,bsc,3,2.98,1.95
6,oven,bsfl,control,oven,bsc,1,3.45,1.95
6,oven,bsfl,control,oven,bsc,2,3.57,1.95
6,oven,bsfl,control,oven,bsc,3,3.61,1.95
6,oven,bsfl,leeb,oven_leeb,bsc,1,2.57,1.95
6,oven,bsfl,leeb,oven_leeb,bsc,2,2.67,1.95
6,oven,bsfl,leeb,oven_leeb,bsc,3,2.25,1.95
0,oven,mw,control,oven,anaer.bsc,1,1.86,1
0,oven,mw,control,oven,anaer.bsc,2,2.06,1
0,oven,mw,control,oven,anaer.bsc,3,1.89,1
0,oven,mw,leeb,oven_leeb,anaer.bsc,1,1.2,1
0,oven,mw,leeb,oven_leeb,anaer.bsc,2,1.1,1
1,oven,mw,control,oven,anaer.bsc,1,1,1
1,oven,mw,control,oven,anaer.bsc,2,1,1
1,oven,mw,control,oven,anaer.bsc,3,1,1
1,oven,mw,leeb,oven_leeb,anaer.bsc,1,1,1
1,oven,mw,leeb,oven_leeb,anaer.bsc,2,1,1
1,oven,mw,leeb,oven_leeb,anaer.bsc,3,1,1
2,oven,mw,control,oven,anaer.bsc,1,2.94,1
2,oven,mw,control,oven,anaer.bsc,2,2.56,1
2,oven,mw,control,oven,anaer.bsc,3,2.52,1
2,oven,mw,leeb,oven_leeb,anaer.bsc,1,1,1
2,oven,mw,leeb,oven_leeb,anaer.bsc,2,1,1
2,oven,mw,leeb,oven_leeb,anaer.bsc,3,1,1
3,oven,mw,control,oven,anaer.bsc,1,3.04,1
3,oven,mw,control,oven,anaer.bsc,2,2.67,1
3,oven,mw,control,oven,anaer.bsc,3,2.04,1
3,oven,mw,leeb,oven_leeb,anaer.bsc,1,1,1
3,oven,mw,leeb,oven_leeb,anaer.bsc,2,1,1
3,oven,mw,leeb,oven_leeb,anaer.bsc,3,1,1
4,oven,mw,control,oven,anaer.bsc,1,3.44,1
4,oven,mw,control,oven,anaer.bsc,2,2.6,1
4,oven,mw,control,oven,anaer.bsc,3,1.79,1
4,oven,mw,leeb,oven_leeb,anaer.bsc,1,1.59,1
4,oven,mw,leeb,oven_leeb,anaer.bsc,2,1.84,1
4,oven,mw,leeb,oven_leeb,anaer.bsc,3,1.73,1
5,oven,mw,control,oven,anaer.bsc,1,3.03,1
5,oven,mw,control,oven,anaer.bsc,2,2.64,1
5,oven,mw,control,oven,anaer.bsc,3,2.16,1
5,oven,mw,leeb,oven_leeb,anaer.bsc,1,1.46,1
5,oven,mw,leeb,oven_leeb,anaer.bsc,2,1.46,1
5,oven,mw,leeb,oven_leeb,anaer.bsc,3,1.26,1
6,oven,mw,control,oven,anaer.bsc,1,2.27,1
6,oven,mw,control,oven,anaer.bsc,2,1.84,1
6,oven,mw,control,oven,anaer.bsc,3,1.36,1
6,oven,mw,leeb,oven_leeb,anaer.bsc,1,2.75,1
6,oven,mw,leeb,oven_leeb,anaer.bsc,2,1,1
6,oven,mw,leeb,oven_leeb,anaer.bsc,3,2.19,1
0,oven,bsfl,control,oven,anaer.bsc,1,1.56,1
0,oven,bsfl,control,oven,anaer.bsc,2,2.06,1
0,oven,bsfl,control,oven,anaer.bsc,3,1.15,1
0,oven,bsfl,leeb,oven_leeb,anaer.bsc,1,1,1
0,oven,bsfl,leeb,oven_leeb,anaer.bsc,2,1,1
0,oven,bsfl,leeb,oven_leeb,anaer.bsc,3,1,1
1,oven,bsfl,control,oven,anaer.bsc,1,2.17,1
1,oven,bsfl,control,oven,anaer.bsc,2,1.6,1
1,oven,bsfl,control,oven,anaer.bsc,3,1.6,1
1,oven,bsfl,leeb,oven_leeb,anaer.bsc,1,1,1
1,oven,bsfl,leeb,oven_leeb,anaer.bsc,2,1,1
1,oven,bsfl,leeb,oven_leeb,anaer.bsc,3,1,1
3,oven,bsfl,control,oven,anaer.bsc,1,1.63,1
3,oven,bsfl,control,oven,anaer.bsc,2,1.67,1
3,oven,bsfl,control,oven,anaer.bsc,3,2.18,1
3,oven,bsfl,leeb,oven_leeb,anaer.bsc,1,1,1
3,oven,bsfl,leeb,oven_leeb,anaer.bsc,2,1,1
3,oven,bsfl,leeb,oven_leeb,anaer.bsc,3,1,1
4,oven,bsfl,control,oven,anaer.bsc,1,3.1,1
4,oven,bsfl,control,oven,anaer.bsc,2,3.14,1
4,oven,bsfl,control,oven,anaer.bsc,3,3.56,1
